Token	freq	prob
closer	3	0.00021408691928923143
wrong	7	0.0004995361450082067
act	3	0.00021408691928923143
strangeness	1	7.136230642974381e-05
thing	34	0.0024263184186112895
motion	7	0.0004995361450082067
finally	6	0.00042817383857846286
close	16	0.001141796902875901
trouble	4	0.00028544922571897526
flight	5	0.00035681153214871903
wooden	5	0.00035681153214871903
stairs	6	0.00042817383857846286
leading	2	0.00014272461285948763
stood	1	7.136230642974381e-05
looking	24	0.0017126953543138515
following	8	0.0005708984514379505
eyes	7	0.0004995361450082067
having	11	0.0007849853707271819
believing	1	7.136230642974381e-05
knocked	4	0.00028544922571897526
sound	21	0.00149860843502462
ended	4	0.00028544922571897526
eating	11	0.0007849853707271819
change	2	0.00014272461285948763
boy	6	0.00042817383857846286
happened	13	0.0009277099835866696
mistaking	1	7.136230642974381e-05
woman	34	0.0024263184186112895
stream	29	0.0020695068864625705
vermont	1	7.136230642974381e-05
beg	1	7.136230642974381e-05
pardon	1	7.136230642974381e-05
excuse	1	7.136230642974381e-05
red	19	0.0013558838221651324
lip	2	0.00014272461285948763
seventeen	4	0.00028544922571897526
years	34	0.0024263184186112895
later	13	0.0009277099835866696
sat	8	0.0005708984514379505
abandoned	10	0.0007136230642974381
shack	8	0.0005708984514379505
sheriff	2	0.00014272461285948763
notice	2	0.00014272461285948763
nailed	2	0.00014272461285948763
funeral	4	0.00028544922571897526
wreath	3	0.00021408691928923143
trespassing	1	7.136230642974381e-05
haiku	1	7.136230642974381e-05
rivers	2	0.00014272461285948763
flowed	9	0.0006422607578676942
thousands	9	0.0006422607578676942
highway	6	0.00042817383857846286
klamath	3	0.00021408691928923143
trying	5	0.00035681153214871903
thirty	8	0.0005708984514379505
miles	15	0.001070434596446157
downstream	2	0.00014272461285948763
steelhead	3	0.00021408691928923143
staying	6	0.00042817383857846286
simple	5	0.00035681153214871903
stop	5	0.00035681153214871903
pick	8	0.0005708984514379505
carrying	6	0.00042817383857846286
usually	1	7.136230642974381e-05
fisherman	4	0.00028544922571897526
wait	4	0.00028544922571897526
hours	11	0.0007849853707271819
ride	4	0.00028544922571897526
sun	21	0.00149860843502462
cent	6	0.00042817383857846286
poured	8	0.0005708984514379505
kerosene	1	7.136230642974381e-05
lit	2	0.00014272461285948763
match	1	7.136230642974381e-05
hold	8	0.0005708984514379505
coin	1	7.136230642974381e-05
car	36	0.002569043031470777
minutes	4	0.00028544922571897526
stick	3	0.00021408691928923143
thumb	1	7.136230642974381e-05
bunch	7	0.0004995361450082067
bananas	1	7.136230642974381e-05
sit	4	0.00028544922571897526
tin	5	0.00035681153214871903
roof	16	0.001141796902875901
colored	6	0.00042817383857846286
reddish	1	7.136230642974381e-05
wear	2	0.00014272461285948763
worn	1	7.136230642974381e-05
guillotine	1	7.136230642974381e-05
loose	2	0.00014272461285948763
hot	25	0.0017840576607435952
wind	7	0.0004995361450082067
blew	1	7.136230642974381e-05
clanged	1	7.136230642974381e-05
couple	13	0.0009277099835866696
swerved	1	7.136230642974381e-05
hitchhikers	1	7.136230642974381e-05
caught	22	0.0015699707414543638
salmon	6	0.00042817383857846286
flies	5	0.00035681153214871903
landing	1	7.136230642974381e-05
net	4	0.00028544922571897526
game	5	0.00035681153214871903
chase	1	7.136230642974381e-05
let	14	0.0009990722900164134
fly	10	0.0007136230642974381
mind	9	0.0006422607578676942
little	51	0.003639477627916934
ways	9	0.0006422607578676942
outhouse	7	0.0004995361450082067
flung	1	7.136230642974381e-05
violently	1	7.136230642974381e-05
open	12	0.0008563476771569257
exposed	1	7.136230642974381e-05
human	9	0.0006422607578676942
face	12	0.0008563476771569257
guy	16	0.001141796902875901
built	6	0.00042817383857846286
crapped	2	0.00014272461285948763
times	16	0.001141796902875901
dead	27	0.0019267822736030828
want	16	0.001141796902875901
touch	1	7.136230642974381e-05
loving	6	0.00042817383857846286
care	11	0.0007849853707271819
leave	4	0.00028544922571897526
monument	7	0.0004995361450082067
ass	2	0.00014272461285948763
gone	18	0.0012845215157353885
mystery	1	7.136230642974381e-05
crap	2	0.00014272461285948763
deer	6	0.00042817383857846286
fuck	6	0.00042817383857846286
kool	12	0.0008563476771569257
aid	14	0.0009990722900164134
wino	4	0.00028544922571897526
result	1	7.136230642974381e-05
rupture	1	7.136230642974381e-05
member	2	0.00014272461285948763
large	10	0.0007136230642974381
german	2	0.00014272461285948763
family	10	0.0007136230642974381
older	2	0.00014272461285948763
children	26	0.0018554199671733391
work	17	0.0012131592093056448
fields	1	7.136230642974381e-05
picking	4	0.00028544922571897526
beans	1	7.136230642974381e-05
half	27	0.0019267822736030828
cents	8	0.0005708984514379505
pound	12	0.0008563476771569257
going	37	0.002640405337900521
worked	12	0.0008563476771569257
ruptured	1	7.136230642974381e-05
money	13	0.0009277099835866696
operation	1	7.136230642974381e-05
buy	5	0.00035681153214871903
truss	1	7.136230642974381e-05
stayed	2	0.00014272461285948763
august	6	0.00042817383857846286
bed	13	0.0009277099835866696
underneath	2	0.00014272461285948763
tattered	1	7.136230642974381e-05
revolution	1	7.136230642974381e-05
blankets	1	7.136230642974381e-05
sheet	5	0.00035681153214871903
life	16	0.001141796902875901
bring	2	0.00014272461285948763
nickel	2	0.00014272461285948763
promised	2	0.00014272461285948763
asked	20	0.0014272461285948761
yeah	8	0.0005708984514379505
pocket	13	0.0009277099835866696
hopped	1	7.136230642974381e-05
dressed	3	0.00021408691928923143
clothes	18	0.0012845215157353885
bother	4	0.00028544922571897526
prepared	1	7.136230642974381e-05
fooling	1	7.136230642974381e-05
taking	5	0.00035681153214871903
kitchen	6	0.00042817383857846286
stepping	1	7.136230642974381e-05
littlest	1	7.136230642974381e-05
diapers	1	7.136230642974381e-05
stages	1	7.136230642974381e-05
anarchy	1	7.136230642974381e-05
homemade	1	7.136230642974381e-05
karo	1	7.136230642974381e-05
syrup	2	0.00014272461285948763
peanut	1	7.136230642974381e-05
butter	4	0.00028544922571897526
store	18	0.0012845215157353885
blocks	1	7.136230642974381e-05
away	35	0.0024976807250410332
heavy	5	0.00035681153214871903
yellow	6	0.00042817383857846286
pheasants	2	0.00014272461285948763
fat	3	0.00021408691928923143
barely	3	0.00021408691928923143
flew	2	0.00014272461285948763
hello	2	0.00014272461285948763
grocer	2	0.00014272461285948763
bald	1	7.136230642974381e-05
birthmark	2	0.00014272461285948763
head	17	0.0012131592093056448
parked	10	0.0007136230642974381
automatically	1	7.136230642974381e-05
reached	7	0.0004995361450082067
package	6	0.00042817383857846286
grape	1	7.136230642974381e-05
counter	3	0.00021408691928923143
gave	11	0.0007849853707271819
nodded	5	0.00035681153214871903
wobbled	1	7.136230642974381e-05
forth	1	7.136230642974381e-05
driverwere	1	7.136230642974381e-05
epileptic	1	7.136230642974381e-05
seizure	1	7.136230642974381e-05
led	2	0.00014272461285948763
ran	9	0.0006422607578676942
feathered	1	7.136230642974381e-05
pig	1	7.136230642974381e-05
ceremony	6	0.00042817383857846286
began	10	0.0007136230642974381
romance	2	0.00014272461285948763
performed	5	0.00035681153214871903
exact	2	0.00014272461285948763
manner	5	0.00035681153214871903
dignity	1	7.136230642974381e-05
gallon	5	0.00035681153214871903
jar	9	0.0006422607578676942
water	49	0.0034967530150574466
spigot	3	0.00021408691928923143
thrust	1	7.136230642974381e-05
ground	10	0.0007136230642974381
finger	1	7.136230642974381e-05
saint	2	0.00014272461285948763
surrounded	4	0.00028544922571897526
mud	6	0.00042817383857846286
puddle	3	0.00021408691928923143
opened	8	0.0005708984514379505
dumped	2	0.00014272461285948763
turned	25	0.0017840576607435952
spit	1	7.136230642974381e-05
splashed	2	0.00014272461285948763
guzzled	1	7.136230642974381e-05
careful	4	0.00028544922571897526
overflow	1	7.136230642974381e-05
spill	2	0.00014272461285948763
sudden	1	7.136230642974381e-05
delicate	1	7.136230642974381e-05
famous	6	0.00042817383857846286
brain	1	7.136230642974381e-05
surgeon	11	0.0007849853707271819
removing	1	7.136230642974381e-05
disordered	1	7.136230642974381e-05
portion	1	7.136230642974381e-05
imagination	5	0.00035681153214871903
screwed	2	0.00014272461285948763
lid	4	0.00028544922571897526
tightly	2	0.00014272461285948763
shake	1	7.136230642974381e-05
inspired	1	7.136230642974381e-05
priest	2	0.00014272461285948763
exotic	2	0.00014272461285948763
cult	1	7.136230642974381e-05
mother	10	0.0007136230642974381
voice	13	0.0009277099835866696
sand	1	7.136230642974381e-05
dishes	4	0.00028544922571897526
huh	5	0.00035681153214871903
second	6	0.00042817383857846286
carefully	3	0.00021408691928923143
bertrand	1	7.136230642974381e-05
russell	1	7.136230642974381e-05
